단어,빈도수
용산,1
대화,1
이미,2
샜는데대통령실,1
청와대보다,1
보안,1
완벽,1
속보,1
대통령실,3
도감청,1
의혹에,1
상황파악,1
후,3
에,2
합당조치,1
요구,2
연합뉴스,22
미국,1
한국,1
등,3
동맹,1
감청기밀,1
유출,1
유승민,1
도청,1
항의도,1
못해,2
한심하고,1
비굴,1
중국,6
항모까지,1
동원해,2
사흘째,2
대만포위,1
작전,2
이지스함,1
맞불,1
훈련,1
대만,3
포위,3
훈련에,1
항모,1
동원차이잉원매카시,1
회동,2
경고,1
뉴스쏙,1
무력시위실탄,1
훈련도,1
예고,2
실전,1
같은,1
훈련미국은,1
초계기,1
띄워,1
감시,1
뉴스현장,1
마약음료,4
마약,2
동원한,1
피싱,1
사기총책은,1
중국에,1
거주,1
한인이,1
제조유통,1
지시,1
원주,1
주택가서,1
만들어,1
필로폰,3
판매한,1
대,10
수원서,1
검거,3
경찰,4
총책,1
특정피싱조직,1
연루,1
용산정비창,1
부지서,1
불발탄,1
발견열차,1
운행,1
분,2
중단,1
단독,1
대전,1
스쿨존,2
참변,2
만취운전자,1
공무원,3
출신,1
주민자치회장,1
충격,1
음주운전,2
전,2
구속브레이크,1
밟았나,1
질문에,2
안,5
치려고,1
노력했다,1
살,2
소녀,1
숨지게,3
한,4
남성의,1
대답,1
만취,1
차량에,3
숨진,1
살유족,1
가해자,1
조사도,1
힘들,1
정도로,1
취해,1
분석,3
마친,1
경찰천공,1
관련,1
영상,4
없어,1
관저,1
이전,2
개입,1
의혹경찰,1
천공,3
작년,1
에서,1
확인,2
돼,2
대통령,16
관저이전,1
개입의혹,1
없다경찰,1
종료,1
나와미복구,1
영상은,1
강남,4
납치살해,1
배후,2
의혹,1
재력가,2
부인,1
구속,5
납치살인,2
인조,1
검찰,2
송치,2
유씨,1
부부,2
범행,1
자금,1
제공사실상,1
청부살인,1
드러나,1
납치,1
살해범들,1
처음부터,1
곡괭이와,1
삽,1
준비범행,1
모두,1
뉴스,3
투데이,2
부,1
모닝뉴스,1
만에,5
고국으로,2
돌아온,1
미스터,3
